title_original,ingredients_final,category,title_cleaned,steps_cleaned
Tongseng Ayam,"ayam, kol, tomat, cabai rawit, kecap manis, gula, garam, daun bawang, air, bawang bombay, daun salam, daun jeruk, serai, bawang merah, bawang putih, ketumbar, kemiri, kunyit, jahe",ayam,Tongseng Ayam,"Haluskan bawang merah, bawang putih, ketumbar, kemiri, kunyit, dan jahe. Tumis bumbu halus bersama bawang bombay, daun salam, daun jeruk, dan serai sampai matang. Kemudian masukkan ayam, tumis sebentar. Setelah itu, tambahkan air, garam, gula, dan kecap manis, masak sampai ayam matang dan empuk. Terakhir masukkan cabai rawit, kol, tomat, dan Iris daun bawang, lalu aduk rata."
Ayam Kecap,"ayam, air, kecap manis, minyak goreng, bawang merah, bawang putih, kemiri, jahe, daun salam, gula, garam, penyedap rasa",ayam,Ayam Kecap,"Haluskan bawang merah, bawang putih, kemiri, dan jahe. Panaskan minyak goreng, Tumis bumbu halus sampai harum. Kemudian masukkan ayam, aduk rata. Masak sampai ayam matang. Tuang air, masak sampai kuah mendidih, lalu tuang kecap manis. Aduk rata, masukkan daun salam, aduk sebentar. Tambahkan gula, garam, dan penyedap rasa. Masak sampai kuah menyusut dan matang."
AyGor Wijen (Ayam goreng wijen),"ayam, bawang putih, minyak wijen, garam, telur, panir, tepung terigu, tepung tapioka, wijen",ayam,Ayam Goreng Wijen,"Potong ayam. Masukkan bawang putih, minyak wijen, dan garam ke dalam wadah berisi ayam, aduk rata. Biarkan semalaman di dalam lemari es. Keluarkan ayam dari lemari es, buang sisa air dari wadah. Kemudian tambahkan telur, aduk rata. Campurkan panir, tepung terigu, tepung tapioka, dan wijen di satu wadah, aduk rata. Ambil satu per satu ayam yang sudah dicampur telur, balurkan ke dalam campuran panir. Simpan ayam dalam freezer. Sementara ayam disimpan di freezer, panaskan penggorengan. Goreng ayam hingga matang."
Nugget Ayam Wortel,"ayam, wortel, telur, bawang putih, garam, lada, kaldu, air, tepung tapioka, tepung terigu, tepung",ayam,Nugget Ayam Wortel,"Potong ayam, lalu blender dengan menambahkan air. Setelah agak halus, masukkan wortel, blender lagi sampai halus dan tercampur rata. Pindahkan ayam ke dalam wadah. Tambahkan telur, bawang putih, garam, lada, kaldu, tepung tapioka, tepung terigu, dan tepung, aduk sampai tercampur rata. Panaskan kukusan. Kukus adonan hingga matang."
Ayam goreng gurih,"ayam, air kelapa, bawang putih, bawang merah, kemiri, lada, ketumbar, serai, daun salam, daun jeruk, kunyit, jahe, lengkuas, garam",ayam,Ayam Goreng Gurih,"Potong ayam. Haluskan bawang merah, bawang putih, kemiri, lada, ketumbar, kunyit, dan jahe. Panaskan minyak, Tumis bumbu halus, masukkan daun salam, daun jeruk, lengkuas, dan serai, Tumis hingga harum. Kemudian masukkan ayam, tambahkan air kelapa, dan masukkan garam, lalu ungkep sampai matang. Setelah itu, panaskan minyak dan goreng ayam sampai berwarna kuning keemasan."
Tempe&tahu melet isian sate ayam,"tempe, tahu, bawang merah, bawang putih, garam, minyak goreng, sate, kaldu, gula, cabai, tepung terigu, ketumbar, air",ayam,Tempe Tahu Melet Isian Sate Ayam,"Potong tempe. Kemudian belah sebagian tempe dan tahu untuk memasukkan isian. Siapkan bahan halus: bawang merah, bawang putih, gula, garam, sate, cabai, dan minyak goreng. Kemudian blender semua bahan halus hingga halus. Tumis bumbu halus, lalu masukkan kaldu. Masukkan sambal isian ke dalam tempe dan tahu yang sudah dibelah. Siapkan bahan celupan dengan menghaluskan bawang putih, garam, dan ketumbar. Campurkan dengan tepung terigu dan air hingga menjadi adonan."
Sop ayam bakso,"bakso, wortel, buncis, kentang, tomat hijau, kol, bawang putih, bawang goreng, air, garam",ayam,Sop Ayam Bakso,"Masak air hingga mendidih. Kemudian masukkan bakso, wortel, dan bawang putih yang sudah dihaluskan. Lalu tambahkan kentang dan tomat hijau. Masukkan buncis. Terakhir, beri garam, masukkan kol, dan taburkan bawang goreng."
Ayam Goreng Madu,"ayam, bawang putih, ketumbar, garam, lada, madu, cabai, minyak goreng",ayam,Ayam Goreng Madu,"Bersihkan ayam, lalu potong. Lumuri ayam dengan bawang putih, ketumbar, garam, lada, dan cabai. Marinasi ayam selama 20 menit. Setelah dimarinasi, goreng ayam dengan minyak goreng hingga kecokelatan. Setelah matang, angkat, lalu olesi dengan madu."
Oseng Hati Ayam Pedaz,"hati ayam, cabai rawit, bawang merah, bawang putih, lengkuas, daun kemangi, garam, minyak goreng, kecap manis",ayam,Tumis Hati Ayam Pedas,"Iris hati ayam menjadi dua bagian, lalu goreng setengah matang. Angkat dan tiriskan. Iris cabai rawit, bawang merah, bawang putih, dan lengkuas. Kemudian tumis bumbu iris dengan minyak goreng hingga harum, lalu masukkan hati ayam. Tambahkan garam dan kecap manis. Masukkan daun kemangi dan tumis hingga matang."
Kare Instan Kepala Ayam & Tahu,"kepala ayam, tahu, kari, santan, minyak goreng, air, daun bawang, bawang putih, bawang merah, cabai merah, cabai rawit, lengkuas, daun salam, daun jeruk, kaldu, lada, penyedap rasa, garam, gula",ayam,Kari Instan Kepala Ayam Tahu,"Panaskan minyak goreng, tumis bawang putih, bawang merah, cabai merah, cabai rawit, dan lengkuas hingga harum. Masukkan kari, lalu aduk rata. Kemudian tuang air, masukkan kepala ayam, daun salam, daun jeruk, kaldu, lada, penyedap rasa, garam, dan gula. Masak hingga kuah mendidih dan kepala ayam empuk. Tuang santan dan masukkan tahu, aduk rata, lalu masak hingga kuah mendidih. Kemudian masukkan irisan daun bawang, aduk rata sebentar, lalu matikan api."
Sambal goreng kentang ati ampela ayam,"ati ampela, kentang, daun salam, lengkuas, santan, gula, bawang merah, bawang putih, cabai merah, cabai rawit, kemiri",ayam,Sambal Goreng Kentang Ati Ampela Ayam,"Potong dadu kentang dan ati ampela, kemudian goreng. Haluskan bawang merah, bawang putih, cabai merah, cabai rawit, dan kemiri. Tumis bumbu halus hingga matang dan harum. Kemudian masukkan daun salam dan lengkuas. Masukkan ati ampela, aduk hingga merata. Kemudian beri air dan gula. Masukkan santan dan aduk lagi hingga mendidih, lalu masukkan kentang. Masak hingga bumbu meresap dan santan menyusut."
Mie Ayam,"kuah, ayam, air, daun bawang, lada, bawang putih, garam, bawang merah, jahe, kunyit, pala, daun salam, daun jeruk, serai, gula, kecap manis, penyedap rasa, mie, sawi, bawang goreng",ayam,Mie Ayam,"Rebus ayam, buang air rebusan pertama. Rebus kembali ayam dengan air. Masukkan daun bawang, lada, bawang putih, garam, bawang merah, jahe, kunyit, pala, daun salam, daun jeruk, serai, gula, kecap manis, dan penyedap rasa. Rebus hingga ayam matang. Keluarkan ayam, lalu suwir atau potong kecil. Haluskan bawang putih, bawang merah, jahe, kunyit, dan pala. Tumis bumbu halus hingga matang. Beri garam, gula, lada, dan penyedap rasa. Tambahkan sedikit air. Masukkan ayam suwir, aduk rata. Susun mie, ayam, sawi, dan kuah di mangkuk. Taburkan bawang goreng."
Pepes ayam kemangi,"ayam, kemangi, daun bawang, cabai rawit, daun pisang, cabai merah, bawang merah, bawang putih, kemiri, kunyit, gula merah, garam, daun salam, jahe, lengkuas",ayam,Pepes Ayam Kemangi,"Haluskan cabai rawit, cabai merah, bawang merah, bawang putih, kemiri, kunyit, gula merah, garam, jahe, dan lengkuas. Tumis bumbu halus hingga harum. Masukkan ayam, masak hingga matang. Setelah matang, masukkan daun bawang dan kemangi, aduk rata. Siapkan daun pisang yang telah dipanaskan di atas kompor agar layu. Bungkus ayam dengan daun pisang bersama daun salam. Kemudian kukus hingga matang."
Ayam Godok,"ayam, bawang merah, bawang putih, jahe, tomat, daun salam, garam, penyedap rasa, minyak goreng, gula merah, kecap manis, air",ayam,Ayam Godok,"Haluskan bawang merah, bawang putih, jahe, dan tomat. Lumuri ayam yang sudah dicuci bersih dengan bumbu halus tersebut. Tumis ayam yang telah dibumbui dan daun salam menggunakan minyak goreng sampai harum. Kemudian tambahkan gula merah dan air, masak sampai mendidih. Setelah itu, tambahkan garam, penyedap rasa, dan kecap manis. Masak hingga air menyusut."
Ayam kampung krebek kuning,"ayam kampung, serai, lengkuas, daun salam, asam jawa, cabai rawit, bawang putih, bawang merah, cabai merah, kemiri, jahe, kunyit",ayam,Ayam Kampung Krebek Kuning,"Bersihkan ayam kampung, lalu tiriskan. Haluskan cabai rawit, bawang putih, bawang merah, cabai merah, kemiri, jahe, dan kunyit. Tumis bumbu halus tersebut bersama asam jawa, serai, daun salam, dan lengkuas sampai harum. Setelah harum, masukkan ayam kampung, aduk rata. Kemudian masukkan air, masak hingga ayam kampung empuk dan air mengering."
Sup daging ayam & sawi pahit #masakan rumahan,"sawi, ayam, jamur shitake, jahe, air, garam",ayam,Sup Daging Ayam Sawi Pahit,"Cuci bersih jahe dan sawi, lalu Potong. Cuci bersih ayam, kemudian Rebus. Setelah mendidih, Buang airnya dan Cuci lagi hingga bersih. Cuci bersih jamur shitake, kemudian Rendam dengan air hangat selama 10 menit. Siapkan panci, masukkan air, ayam, jamur shitake, dan jahe. Masak hingga mendidih selama 20 menit. Kemudian masukkan sawi, aduk hingga rata. Bumbui dengan garam. Masak hingga sawi lunak, lalu angkat dan tuang sup ke dalam mangkuk saji."
Ayam Lada Hitam #NoMSG,"ayam, paprika merah, bawang bombay, bawang putih, cabai, garam, lada, kecap manis, maizena",ayam,Ayam Lada Hitam,"Potong dadu ayam, bawang bombay, dan paprika merah. Geprek bawang putih, lalu Cincang cabai. Tumis bawang bombay hingga agak lemas. Kemudian masukkan bawang putih, cabai, dan paprika merah, aduk sebentar. Setelah bawang putih matang, masukkan ayam. Beri kecap manis dan lada, lalu tambahkan air. Biarkan hingga air berkurang dan ayam matang. Masukkan garam. Larutkan maizena dengan air, kemudian masukkan ke dalam masakan sambil diaduk sebentar."
Creamy Chicken Mushroom Penne,"penne, ayam cincang, jamur shimeji, bawang bombay, susu, krim keju, slice keju, mentega, italian herbs, penyedap rasa, lada",ayam,Creamy Chicken Mushroom Penne,"Rebus penne hingga matang, lalu Tiriskan. Tumis bawang bombay bersama mentega. Masukkan ayam cincang, masak hingga berubah warna. Tuangkan susu dan krim keju, aduk hingga larut. Tambahkan jamur shimeji. Kemudian tambahkan penne, aduk rata. Bumbui dengan lada, italian herbs, dan penyedap rasa. Masukkan slice keju, aduk rata. Masak hingga susu menyusut."
Ayam Suwir,"fillet ayam, daun salam, daun jeruk, serai, santan, bawang merah, bawang putih, kemiri, ketumbar, jahe, kunyit, garam, gula, lada, minyak zaitun",ayam,Ayam Suwir,"Rebus fillet ayam hingga matang, lalu Suwir dan Sisihkan. Haluskan bawang merah, bawang putih, kemiri, ketumbar, jahe, dan kunyit. Campur air rebusan ayam dengan santan, aduk rata, lalu Sisihkan. Tumis bumbu halus, daun salam, daun jeruk, dan serai menggunakan minyak zaitun sampai matang dan harum berminyak. Kemudian masukkan suwiran fillet ayam, aduk rata. Masukkan santan sampai ayam terendam, aduk hingga mendidih. Setelah itu, bumbui dengan garam, gula, dan lada. Lanjut Keringkan kuahnya, lalu Angkat."
Ayam Geprek Sambel Bawang,"garam, gula, penyedap rasa, tomat, cabai, bawang merah, bawang putih, minyak goreng, ayam, tepung terigu, tepung",ayam,Ayam Geprek Sambal Bawang,"Baluri ayam dengan campuran tepung dan tepung terigu. Goreng ayam dalam minyak goreng yang sudah dipanaskan, lalu Tiriskan. Goreng tomat, bawang merah, dan bawang putih. Kemudian Haluskan bahan yang sudah digoreng bersama cabai. Tambahkan garam, gula, dan penyedap rasa ke dalam sambal. Geprek ayam goreng, lalu sajikan dengan sambal."
Rica rica ayam kecap,"sayap ayam, cabai keriting, cabai rawit, bawang merah, bawang putih, jahe, kunyit, daun salam, daun jeruk, garam, serai, kecap manis, kaldu, air, minyak goreng, gula, lengkuas",ayam,Rica Rica Ayam Kecap,"Cuci sayap ayam, lalu Potong. Haluskan cabai keriting, cabai rawit, bawang merah, bawang putih, jahe, dan kunyit. Tumis bumbu halus tersebut bersama lengkuas, daun salam, daun jeruk, dan serai menggunakan minyak goreng. Kemudian masukkan sayap ayam, aduk rata. Tambahkan air, aduk rata. Tambahkan garam, kaldu, dan gula. Masukkan kecap manis, aduk rata. Masak hingga matang, lalu Angkat dan Sajikan."
Opor ayam kuning,"ayam, santan, kunyit, jintan, lada, bawang merah, lengkuas, kemiri, ketumbar, jahe, daun jeruk, salam, serai, cabai keriting, garam, penyedap rasa",ayam,Opor Ayam Kuning,"Cuci ayam hingga bersih. Haluskan kunyit, jintan, lada, bawang merah, lengkuas, kemiri, ketumbar, jahe, dan cabai keriting. Tumis bumbu halus hingga harum. Masukkan daun jeruk, salam, dan serai. Kemudian masukkan santan, masak hingga mendidih. Setelah itu, masukkan ayam, tambahkan garam dan penyedap rasa, lalu masak hingga ayam matang."
Ayam goreng saus mentega susu,"ayam, daun jeruk, tepung terigu, bawang putih, bawang merah, cabai rawit, garam, lada, ketumbar, susu kental manis, margarin, minyak goreng",ayam,Ayam Goreng Saus Mentega Susu,"Potong dadu ayam, kemudian taburkan dengan garam, lada, dan ketumbar. Setelah itu, tambahkan tepung terigu, lalu goreng ayam sampai matang dan tiriskan. Cincang kasar bawang merah, bawang putih, cabai rawit, dan daun jeruk. Tumis bumbu cincang dengan margarin hingga harum. Apabila sudah harum, masukkan ayam yang sudah digoreng, tambahkan susu kental manis, lalu aduk sebentar."
Tumis Tauge Ayam Wortel,"bawang merah, bawang putih, bawang bombay, cabai rawit, cabai hijau, wortel, tauge, ayam, gula, garam, air",ayam,Tumis Tauge Ayam Wortel,"Goreng ayam, lalu suwir. Iris bawang merah, bawang putih, bawang bombay, cabai rawit serong, cabai hijau serong, dan wortel memanjang. Tumis bawang merah, bawang putih, bawang bombay, cabai rawit, dan cabai hijau hingga harum. Masukkan ayam suwir dan wortel, aduk hingga merata. Jika wortel sudah mulai layu, masukkan tauge. Beri sedikit air, lalu tambahkan garam dan gula."
Ayam Goreng Ngo Hiong Keto | #keto #ketofy #ketopad #ketofastosis,"ayam, kecap manis, garam, ngohiong, minyak",ayam,Ayam Goreng Ngo Hiong Keto,"Bumbui ayam dengan kecap manis, garam, dan ngohiong sambil diremas. Masukkan ayam ke dalam kulkas. Panaskan minyak. Goreng ayam menggunakan api kecil, tutup wajan, sesekali periksa dan balik hingga ayam matang."
Ayam Goreng Ungkep,"ayam, air, gula, bawang putih, bawang merah, kunyit, jahe, kemiri, ketumbar, garam, lengkuas, serai, daun jeruk, daun salam",ayam,Ayam Goreng Ungkep,"Cuci ayam hingga bersih. Haluskan bawang putih, bawang merah, kemiri, ketumbar, jahe, kunyit, dan garam. Setelah halus, geprek lengkuas, serai, daun jeruk, dan daun salam. Lumuri ayam dengan bumbu halus, kemudian masukkan ke dalam panci. Bersihkan sisa bumbu dengan sedikit air, lalu tuang ke dalam panci. Tambahkan gula, lengkuas, serai, daun jeruk, dan daun salam. Ungkep ayam. Aduk ayam, kemudian ungkep lagi hingga air asat."
Hati ampela ayam masak merah,"hati, cabai merah, cabai rawit, bawang merah, bawang putih, kemiri, tomat, garam, gula, minyak goreng",ayam,Hati Ampela Ayam Masak Merah,"Bersihkan hati, lalu rebus hingga empuk dan tiriskan. Haluskan bawang merah, bawang putih, cabai merah, cabai rawit, dan kemiri. Iris tomat menjadi kecil, lalu sisihkan. Tumis bumbu halus dengan sedikit minyak goreng hingga harum. Masukkan hati dan potongan tomat ke dalam tumisan bumbu halus. Tambahkan sedikit air, garam, dan gula. Biarkan hingga air berkurang dan bumbu meresap."
Chicken Drum Stick,"ayam, tepung tapioka, tepung terigu, telur, bawang putih, lada, pala, garam, penyedap rasa, tepung panir",ayam,Chicken Drum Stick,"Giling ayam sampai halus. Haluskan bawang putih, lada, dan pala. Campurkan ayam giling, bumbu halus, telur, garam, dan penyedap rasa, aduk hingga rata. Masukkan tepung tapioka dan tepung terigu, campurkan sedikit demi sedikit. Lapisi tangan dengan minyak goreng, lalu bentuk. Setelah itu, baluri dengan tepung panir."
Ayam rica-rica level 5,"ayam, cabai keriting, cabai rawit, bawang merah, bawang putih, daun bawang, minyak goreng, jahe, lengkuas, garam, kaldu",ayam,Ayam Rica-Rica,"Cuci bersih ayam. Haluskan cabai keriting, cabai rawit, bawang merah, bawang putih, jahe, dan lengkuas. Masukkan ayam ke dalam panci bersama bumbu halus dan garam. Ungkep ayam hingga airnya habis. Setelah itu, masukkan minyak goreng, lalu goreng ayam hingga matang. Tumis sisa bumbu halus hingga harum. Masukkan daun bawang cincang dan kaldu. Kemudian masukkan ayam yang sudah digoreng."
Ayam Goreng Kecap,"ayam, bawang bombay, jahe, cabai merah, bawang putih, daun bawang, gula, lada, air, minyak goreng",ayam,Ayam Goreng Kecap,"Ungkep ayam dengan lada. Setelah diungkep, Goreng ayam hingga sedikit kecokelatan, lalu angkat. Panaskan minyak goreng, Tumis bawang putih dan jahe, kemudian masukkan bawang bombay, Tumis hingga harum. Masukkan cabai merah iris dan ayam goreng, lalu tambahkan gula dan lada, kemudian Tuang air. Masak hingga kuah mengental, sesaat sebelum diangkat, masukkan daun bawang."
Minyak Ayam,"kulit ayam, bawang putih, ketumbar, jahe, minyak goreng",ayam,Minyak Ayam,"Panaskan minyak goreng, Tumis jahe hingga harum. Masukkan kulit ayam, aduk rata bersama bawang putih dan ketumbar. Masak hingga kulit ayam matang dan berwarna keemasan gelap. Setelah dingin, Saring."
Ayam pedas saos teriyaki,"ayam, cabai keriting, cabai rawit, bawang merah, bawang putih, lada, jahe, garam, penyedap rasa, saus teriyaki, bawang bombay, air",ayam,Ayam Pedas Saus Teriyaki,"Cuci bersih ayam, lalu Goreng dan Sisihkan. Haluskan cabai keriting, cabai rawit, bawang merah, bawang putih, lada, jahe, dan garam. Kemudian Tumis bumbu halus dan bawang bombay sampai harum. Masukkan air dan penyedap rasa, Aduk, lalu Tutup. Masukkan saus teriyaki, Biarkan air sampai mengental, lalu Angkat."
Opor Ayam Nanas,"ayam kampung, kentang, santan, daun salam, serai, lengkuas, garam, gula, nanas, lada, kemiri, bawang merah, bawang putih, ketumbar",ayam,Opor Ayam Nanas,"Haluskan lada, kemiri, bawang merah, bawang putih, dan ketumbar. Kemudian Tumis bumbu halus, daun salam, lengkuas, dan serai sampai harum. Masukkan ayam kampung, Aduk sampai ayam kampung berubah warna. Tuang santan, Aduk rata sampai mendidih dan ayam kampung empuk. Masukkan kentang, garam, dan gula. Masak sampai kentang empuk. Terakhir, masukkan nanas, Aduk sebentar, lalu Angkat."
Ayam kecap simple,"ayam, bawang bombay, bawang putih, daun bawang, cabai hijau, kecap manis, garam, lada, air, minyak goreng",ayam,Ayam Kecap,"Rebus ayam, lalu Goreng hingga permukaannya agak berkulit, kemudian Angkat dan Tiriskan. Panaskan minyak goreng, Tumis bawang putih dan bawang bombay hingga harum. Lalu Tambahkan kecap manis, garam, dan lada. Masukkan ayam yang sudah digoreng, kemudian Tambahkan air, masukkan cabai hijau dan daun bawang. Masak hingga air agak menyusut dan meresap ke ayam, lalu Angkat."
Gulai ayam arya,"ayam, bawang putih, bawang merah, cabai rawit, cabai, jahe, kunyit, lada, ketumbar, kambing, daun jeruk, daun salam, lengkuas, serai, cengkeh, kapulaga, kelapa, garam",ayam,Gulai Ayam,"Bersihkan ayam dan kambing, Potong sesuai selera. Tambahkan garam pada ayam. Haluskan bawang putih, bawang merah, cabai rawit, cabai, jahe, kunyit, lada, dan ketumbar. Tumis bumbu halus, daun jeruk, daun salam, lengkuas, serai, cengkeh, dan kapulaga hingga harum. Masukkan ayam, aduk rata. Kemudian masukkan santan dari kelapa. Tunggu hingga matang."
Ayam Goreng Kremes,"ayam, bawang merah, bawang putih, lengkuas, kunyit, garam, daun salam, serai",ayam,Ayam Goreng Kremes,"Haluskan bawang merah, bawang putih, lengkuas, kunyit, dan garam. Potong dan Cuci bersih ayam. Masukkan ayam yang sudah dipotong dan dicuci bersih ke penggorengan, bersama daun salam dan serai. Tambahkan air."
Sup ayam jagung,"jagung, wortel, ayam, tepung maizena, air, telur, seledri, bawang putih, garam",ayam,Sup Ayam Jagung,"Panaskan air sampai mendidih. Potong jagung, wortel, dan ayam. Cuci semua bahan yang sudah dipotong. Masukkan jagung, wortel, ayam, dan bawang putih ke air yang sudah direbus. Tunggu sampai setengah matang, lalu Tambahkan telur dan garam. Aduk supaya tidak menggumpal. Tambahkan tepung maizena yang sudah diencerkan sambil terus diaduk. Masukkan seledri. Matikan api."
Ayam kecap,"ayam, bawang merah, bawang putih, tomat, lengkuas, daun salam, daun jeruk, saus, kecap manis",ayam,Ayam Kecap,"Goreng ayam hingga matang, kemudian angkat dan tiriskan. Haluskan bawang merah, bawang putih, dan tomat. Setelah itu, tumis bumbu halus hingga harum. Masukkan ayam, lengkuas, daun salam, dan daun jeruk. Tambahkan sedikit air, kecap manis, dan saus. Koreksi rasa, lalu masak hingga bumbu meresap."
Ayam Bumbu Pedas,"ayam, cabai merah, kemiri, ketumbar, bawang merah, bawang putih, tomat, kecap manis, garam, gula jawa, gula, lada, air, minyak goreng",ayam,Ayam Bumbu Pedas,"Bersihkan ayam, lalu rebus hingga empuk. Goreng sebentar bawang merah, bawang putih, cabai merah, tomat, dan kemiri menggunakan minyak goreng. Kemudian Haluskan bumbu yang sudah digoreng bersama ketumbar, lalu tambahkan gula jawa. Tumis bumbu halus hingga harum. Setelah harum, tambahkan gula, garam, lada, dan kecap manis. Tambahkan sedikit air. Koreksi rasa. Setelah bumbu tercampur, masukkan ayam yang sudah direbus. Masak hingga bumbu meresap."
Sop ceker dan buntut (brutu ayam) 😊,"ceker ayam, wortel, jahe, bawang putih, kunyit, lada, daun jeruk, serai, kapulaga, daun bawang",ayam,Sop Ceker dan Buntut Ayam,"Bersihkan ceker ayam. Haluskan jahe, bawang putih, kunyit, dan lada. Masukkan air ke dalam panci, lalu tambahkan bumbu halus. Masukkan ceker ayam, wortel, daun jeruk, serai, dan kapulaga. Rebus hingga matang dan empuk. Tambahkan garam, lalu koreksi rasa. Sajikan dengan taburan daun bawang."
Mie Ayam Homemade,"mie, ayam fillet, bawang putih, bawang merah, jahe, ketumbar, pala, kecap manis, selada, cabai rawit",ayam,Mie Ayam,"Potong dadu ayam fillet, kemudian cuci bersih. Haluskan bawang putih, bawang merah, dan jahe. Kemudian tumis bumbu halus hingga harum. Tambahkan ayam fillet, lalu aduk. Tambahkan kecap manis, pala, dan ketumbar. Kemudian tambahkan air, aduk, dan masak hingga air menyusut. Rebus mie. Siapkan mangkuk, lalu tata mie dan ayam fillet. Tambahkan selada. Untuk sambal, rebus cabai rawit, kemudian Haluskan kasar."
Ayam geprek sambal hijau kemangi,"ayam, bawang putih, jahe, lengkuas, ketumbar, kunyit, sambal, cabai hijau, cabai rawit, tomat hijau, bawang, kaldu bubuk, gula, garam",ayam,Ayam Geprek Sambal Hijau Kemangi,"Cuci ayam. Haluskan bawang putih, jahe, lengkuas, ketumbar, dan kunyit sebagai bumbu ungkep. Ungkep ayam. Goreng ayam hingga matang, lalu sisihkan. Goreng cabai hijau, cabai rawit, tomat hijau, dan bawang hingga layu. Kemudian Haluskan. Tumis sambal hijau, lalu tambahkan kaldu bubuk, garam, dan gula. Masak hingga matang. Geprek ayam yang sudah digoreng, lalu balut dengan sambal hijau."
Nugget Ayam - Wortel,"ayam, tepung maizena, tepung terigu, telur, wortel, lada, garam, gula, mayonaise, bawang putih, tepung, air, mentega",ayam,Nugget Ayam Wortel,"Blender ayam, tepung maizena, tepung terigu, telur, wortel, lada, gula, garam, mayonaise, bawang putih, dan air. Setelah halus, simpan dalam wadah atau loyang yang sudah diolesi mentega, lalu kukus. Siapkan telur kocok dan tepung. Setelah dikukus, Potong atau bentuk adonan. Kemudian celupkan ke telur, lalu baluri dengan tepung. Goreng nugget hingga matang."
Ayam crispy,"ayam, kaldu bubuk, garam, lada, jeruk nipis, bawang putih, tepung",ayam,Ayam Crispy,"Cuci ayam hingga bersih. Haluskan bawang putih, garam, dan lada. Campurkan bumbu halus dan kaldu bubuk ke ayam, lalu tambahkan jeruk nipis. Aduk rata dan diamkan agar bumbu meresap. Setelah bumbu meresap, siapkan tepung. Baluri ayam dengan tepung. Siapkan air es. Celupkan ayam yang sudah dibaluri tepung ke air es, lalu goreng dengan minyak panas hingga kering dan renyah. Angkat dan tiriskan."
Tongseng Ayam untuk pemula,"ayam, kubis, daun salam, daun jeruk, serai, jahe, garam, kecap manis, santan, bawang merah, bawang putih, kemiri, ketumbar, cabai rawit, kunyit",ayam,Tongseng Ayam,"Cuci bersih ayam. Haluskan bawang merah, bawang putih, kemiri, ketumbar, cabai rawit, dan kunyit. Kemudian Tumis bumbu halus. Masukkan jahe, daun salam, daun jeruk, dan serai. Tumis hingga harum. Tambahkan kecap manis dan santan. Tambahkan garam. Masukkan ayam, lalu masak hingga matang. Masukkan kubis, lalu masak hingga matang."
Ayam Suwir,"ayam, bawang merah, bawang putih, cabai merah, cabai rawit, tomat, gula, daun jeruk, kunyit, ketumbar, kecap manis",ayam,Ayam Suwir,"Rebus dada ayam dengan kunyit, ketumbar, dan bawang putih yang dihaluskan hingga empuk, kemudian suwir. Haluskan bawang merah, bawang putih, cabai merah, cabai rawit, tomat, kunyit, dan ketumbar. Tumis bumbu halus tersebut bersama daun jeruk hingga harum. Kemudian, masukkan ayam suwir, gula, dan kecap manis. Aduk hingga bumbu meresap dengan api kecil."
"Ayam Goreng Bawang ""Khas Batam""","ayam, bawang, telur, maizena, garam, bawang putih, bawang merah, ketumbar, lada, jahe, kunyit",ayam,Ayam Goreng Bawang,"Haluskan bawang putih, bawang merah, ketumbar, lada, jahe, dan kunyit. Dalam wadah, masukkan ayam, telur, maizena, garam, dan bumbu halus. Aduk rata, kemudian simpan di kulkas 30 menit. Panaskan minyak goreng, lalu goreng bawang putih hingga kuning dan garing. Tiriskan bawang putih, kemudian goreng ayam hingga kecoklatan dan matang. Angkat dan tiriskan ayam. Campur ayam goreng dengan bawang putih goreng."
Opor Ayam Super Kilat,"ayam, santan, lengkuas, serai, jintan, lada, garam, gula merah, bawang putih, kemiri, kunyit, jahe, daun salam, air",ayam,Opor Ayam,"Goreng bawang putih, kunyit, jahe, dan kemiri hingga setengah matang. Rebus ayam dengan jahe yang digeprek selama 20-30 menit. Haluskan bumbu yang sudah digoreng, lalu tambahkan jintan, lada, dan garam. Panaskan api, kemudian tumis lengkuas, daun salam, dan serai hingga harum. Setelah itu, masukkan bumbu halus dan tumis hingga harum. Tiriskan ayam yang sudah direbus, lalu masukkan ke bumbu yang ditumis. Aduk hingga merata. Tambahkan santan, aduk, lalu masukkan gula merah. Setelah santan mendidih, tambahkan 400ml air. Rebus hingga mendidih, kemudian matikan api."
Sop Ayam,"ayam, wortel, daun bawang, bawang merah, daun salam, jahe, bawang putih, kemiri, pala, kayu manis, kaldu bubuk",ayam,Sop Ayam,"Potong ayam, lalu cuci bersih. Rebus ayam bersama daun salam dan jahe yang digeprek hingga setengah matang. Haluskan bawang merah, bawang putih, kemiri, pala, dan kayu manis. Di wadah terpisah, tumis bumbu halus hingga harum. Kemudian, masukkan bumbu halus ke dalam rebusan ayam. Masak hingga ayam empuk, lalu masukkan wortel dan kaldu bubuk. Masak hingga wortel matang, kemudian angkat dan masukkan daun bawang."
